,0
0,chris
1,wallace
2,president
3,trump
4,strikes
5,back
6,syria
7,response
8,chemical
9,attack
10,killed
11,innocent
12,civilians
13,sending
14,message
15,bashar
16,assad
17,world
18,vital
19,national
20,security
21,interest
22,united
23,states
24,prevent
25,deter
26,spread
27,use
28,deadly
29,chemical
30,weapons
31,discuss
32,mr
33,trump
34,order
35,launch
36,cruise
37,missiles
38,syrian
39,military
40,signal
41,sends
42,russia
43,north
44,korea
45,middle
46,chinese
47,summit
48,guest
49,president
50,trump
51,national
52,security
53,advisor
54,general
55,mcmaster
56,first
57,television
58,interview
59,since
60,taking
61,office
62,fox
63,news
64,sunday
65,exclusive
66,president
67,consult
68,congress
69,first
70,ask
71,two
72,leading
73,senators
74,whether
75,president
76,needs
77,congress
78,approval
79,confirmation
80,neil
81,gorsuch
82,supreme
83,court
84,senate
85,republicans
86,invoked
87,nuclear
88,options
89,senators
90,john
91,cornyn
92,texas
93,ben
94,cardin
95,maryland
96,fox
97,news
98,sunday
99,plus
100,mr
101,trump
102,sharp
103,break
104,president
105,obama
106,commander
107,chief
108,ask
109,sunday
110,panel
111,donald
112,trump
113,handling
114,first
115,big
116,foreign
117,policy
118,task
119,power
120,player
121,week
122,former
123,head
124,special
125,forces
126,syria
127,cannot
128,justify
129,see
130,mass
131,migration
132,see
133,carnage
134,occurring
135,syria
136,nothing
137,right
138,fox
139,news
140,sunday
141,hello
142,fox
143,news
144,washington
145,trump
146,administration
147,says
148,prepared
149,week
150,missile
151,barrage
152,syrian
153,air
154,base
155,meant
156,deter
157,president
158,bashar
159,assad
160,using
161,chemical
162,weapons
163,people
164,question
165,hour
166,happens
167,next
168,minutes
169,ask
170,one
171,key
172,figures
173,helped
174,president
175,trump
176,plan
177,attack
178,general
179,mcmaster
180,first
181,television
182,interview
183,since
184,becoming
185,president
186,national
187,security
188,advisor
189,first
190,let
191,bring
192,fox
193,news
194,correspondent
195,kristin
196,fisher
197,live
198,palm
199,beach
200,latest
201,southern
202,white
203,house
204,kristin
205,chris
206,residents
207,syrian
208,town
209,hit
210,chemical
211,weapons
212,attack
213,say
214,warplanes
215,returned
216,bomb
217,though
218,time
219,without
220,deadly
221,gas
222,world
223,wondering
224,president
225,trump
226,respond
227,letter
228,congress
229,defended
230,decision
231,launch
232,almost
233,tomahawk
234,missiles
235,single
236,syrian
237,air
238,base
239,without
240,congressional
241,approval
242,saying
243,quote
244,acted
245,vital
246,national
247,security
248,foreign
249,policy
250,interest
251,united
252,states
253,pursuant
254,constitutional
255,authority
256,said
257,quote
258,take
259,additional
260,action
261,necessary
262,appropriate
263,important
264,national
265,interests
266,president
267,mulls
268,additional
269,actions
270,might
271,pentagon
272,investigating
273,russia
274,involved
275,chemical
276,weapons
277,attack
278,senior
279,military
280,officials
281,say
282,russian
283,drone
284,seen
285,flying
286,hospital
287,victims
288,attack
289,taken
290,hours
291,later
292,bombed
293,kremlin
294,denying
295,responsibility
296,russia
297,flexing
298,muscles
299,sending
300,warship
301,towards
302,two
303,navy
304,destroyers
305,launched
306,strike
307,syria
308,days
309,secretary
310,state
311,rex
312,tillerson
313,scheduled
314,take
315,first
316,trip
317,moscow
318,state
319,department
320,says
321,tillerson
322,called
323,russian
324,counterpart
325,yesterday
326,trip
327,still
328,bringing
329,powerful
330,message
331,president
332,trump
333,willing
334,take
335,decisive
336,military
337,action
338,time
339,country
340,crosses
341,redline
342,chris
343,kristin
344,fisher
345,reporting
346,live
347,palm
348,beach
349,kristin
350,thanks
351,joining
352,live
353,mar
354,lago
355,president
356,trump
357,national
358,security
359,advisor
360,mcmaster
361,general
362,welcome
363,fox
364,news
365,sunday
366,thank
367,chris
368,pleasure
369,trump
370,administration
371,seems
372,sending
373,mixed
374,signals
375,weekend
376,ambassador
377,nikki
378,haley
379,says
380,getting
381,rid
382,assad
383,priority
384,hand
385,secretary
386,state
387,tillerson
388,says
389,first
390,get
391,rid
392,isis
393,destroy
394,isis
395,assad
396,wait
397,president
398,see
399,playing
400,syria
401,well
402,secretary
403,tillerson
404,ambassador
405,haley
406,right
407,really
408,need
409,everyone
410,involved
411,conflict
412,needs
413,everything
414,resolve
415,civil
416,war
417,halt
418,humanitarian
419,catastrophe
420,political
421,catastrophe
422,syria
423,catastrophe
424,affecting
425,greater
426,middle
427,east
428,affecting
429,europe
430,threat
431,american
432,people
433,well
434,required
435,kind
436,political
437,solution
438,complex
439,problem
440,ambassador
441,haley
442,pointed
443,difficult
444,understand
445,political
446,solution
447,could
448,result
449,continuation
450,assad
451,regime
452,saying
453,ones
454,going
455,affect
456,change
457,saying
458,countries
459,ask
460,hard
461,questions
462,russia
463,ask
464,supporting
465,murderous
466,regime
467,committing
468,mass
469,murder
470,population
471,using
472,heinous
473,weapons
474,available
475,think
476,people
477,really
478,anxious
479,find
480,find
481,inconsistencies
482,statements
483,fact
484,consistent
485,terms
486,ultimate
487,political
488,objective
489,syria
490,understand
491,ultimate
492,political
493,objective
494,secretary
495,tillerson
496,said
497,destroying
498,isis
499,must
500,come
501,first
502,seem
503,saying
504,exactly
505,saying
506,seen
507,isis
508,right
509,isis
510,brutalize
511,people
512,isis
513,established
514,control
515,territory
516,populations
517,resources
518,grown
519,strength
520,threat
521,civilized
522,peoples
523,conducting
524,effective
525,operations
526,alongside
527,partners
528,syria
529,iraq
530,defeat
531,isis
532,destroy
533,isis
534,reestablish
535,control
536,territory
537,control
538,populations
539,protect
540,populations
541,allow
542,refugees
543,come
544,back
545,begin
546,reconstruction
547,allow
548,resources
549,sir
550,trying
551,clear
552,two
553,separate
554,tracks
555,time
556,isis
557,happen
558,first
559,international
560,community
561,moved
562,depose
563,assad
564,well
565,think
566,saw
567,strike
568,degree
569,simultaneous
570,activity
571,well
572,sequencing
573,defeat
574,isis
575,first
576,syria
577,destructive
578,cycle
579,violence
580,perpetuated
581,isis
582,obviously
583,also
584,regime
585,iranian
586,russian
587,sponsors
588,able
589,work
590,together
591,allies
592,partners
593,help
594,resolve
595,conflict
596,resolution
597,conflict
598,tell
599,elements
600,talking
601,chris
602,defeat
603,isis
604,also
605,significant
606,change
607,nature
608,assad
609,regime
610,behavior
611,particular
612,let
613,ask
614,question
615,sir
616,may
617,clarify
618,kristin
619,fisher
620,reported
621,syrian
622,warplanes
623,already
624,using
625,base
626,forces
627,hit
628,thursday
629,night
630,reportedly
631,bombing
632,town
633,northern
634,syria
635,time
636,conventional
637,weapons
638,chemical
639,question
640,assad
641,continues
642,killing
643,babies
644,conventional
645,weapons
646,chemical
647,president
648,stop
649,president
650,trump
