,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
0,"CHRIS WALLACE, FOX NEWS ANCHOR"," I’m Chris Wallace.  President Trump strikes back at Syria in response to that chemical attack that killed innocent civilians, sending a message to Bashar Assad and the world. ",1,176.0,31.0,host,1.0,0,Fox News,Fox News Sunday,2017-04-09
1,,(BEGIN VIDEOTAPE),1,,,,,0,Fox News,Fox News Sunday,2017-04-09
2,"DONALD TRUMP, PRESIDENT OF THE UNITED STATES", It is in this vital national security interest of the United States to prevent and deter the spread and use of deadly chemical weapons. ,1,137.0,26.0,guest,2.0,1,Fox News,Fox News Sunday,2017-04-09
3,WALLACE," We will discuss Mr. Trump's order to launch cruise missiles at the Syrian military, the signal it sends to Russia, and to North Korea in the middle of the Chinese summit. Our guest, President Trump's national security advisor, General H.R. McMaster, in his first television interview since taking office. It’s a ""Fox News Sunday"" exclusive.  Then, should the president consult with Congress first?  We’ll ask two leading senators whether the president needs Congress' approval and about the confirmation of Neil Gorsuch to the Supreme Court after Senate Republicans invoked the nuclear options. Senators John Cornyn of Texas and Ben Cardin of Maryland, only on ""Fox News Sunday.""  Plus, Mr. Trump's sharp break with President Obama as commander-in-chief.  We’ll ask our Sunday panel how Donald Trump is handling his first big foreign policy task.  And our power player of the week: the former head of U.S. Special Forces on what we should do in Syria. ",1,953.0,161.0,host,3.0,1,Fox News,Fox News Sunday,2017-04-09
4,"ADMIRAL WILLIAM MCRAVEN, FMR. HEAD OF U.S. SPECIAL FORCES", We cannot justify and see this mass migration and see the carnage that is occurring in Syria and do nothing. ,1,110.0,22.0,guest,4.0,1,Fox News,Fox News Sunday,2017-04-09
5,WALLACE," All, right now, on ""Fox News Sunday.""",1,38.0,8.0,host,5.0,1,Fox News,Fox News Sunday,2017-04-09
6,,(END VIDEOTAPE),1,,,,,1,Fox News,Fox News Sunday,2017-04-09
7,WALLACE," And hello again from Fox News in Washington.  The Trump administration says it's prepared to do more after this week's missile barrage on the Syrian air base meant to deter President Bashar Assad from again using chemical weapons against his own people. The question this hour is: what happens next?  In a few minutes, we’ll ask one of the key figures who helped President Trump plan the attack, General H.R. McMaster, in his first television interview since becoming the president's national security advisor.  But, first, let's bring in Fox News correspondent Kristin Fisher live from Palm Beach with the latest from the southern White House -- Kristin. ",1,657.0,112.0,host,6.0,0,Fox News,Fox News Sunday,2017-04-09
8,"KRISTIN FISHER, FOX NEWS CORRRESPONDENT"," Chris, residents of the same Syrian town hit in that chemical weapons attack say warplanes have returned to bomb them, though this time without the deadly gas. And it has the world wondering how President Trump will respond.  In a letter to Congress, he defended his decision to launch almost 60 Tomahawk missiles at a single Syrian air base without congressional approval by saying, quote, ""I acted in the vital national security and foreign policy interest of the United States pursuant to my constitutional authority."" He then said that, quote, ""The U.S. will take additional action as necessary and appropriate to further its important national interests.""  As the president mulls over what those additional actions might be, the Pentagon is investigating if Russia was involved in that chemical weapons attack. Senior military officials say a Russian drone was seen flying over the hospital where victims of the attack were taken. A few hours later, it was bombed. The Kremlin is denying any responsibility.  Now, Russia is flexing its muscles by sending a warship towards the two Navy destroyers that launched the strike on Syria. And all of this just days before Secretary of State Rex Tillerson is scheduled to take his first trip to Moscow. The State Department says Tillerson called his Russian counterpart yesterday and the trip is still on and he will be bringing a very powerful message with him, that President Trump is willing to take decisive military action any time a country crosses his redline -- Chris. ",1,1525.0,256.0,guest,7.0,0,Fox News,Fox News Sunday,2017-04-09
9,WALLACE," Kristin Fisher, reporting live from Palm Beach -- Kristin, thanks for that.  Joining me live now from Mar-a-Lago, President Trump's national security advisor, H.R. McMaster.  General, welcome to ""Fox News Sunday."" ",1,215.0,35.0,host,8.0,0,Fox News,Fox News Sunday,2017-04-09
