,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
0,"SEAN HANNITY, HOST"," And welcome to ""Hannity.""  So President Obama is leaving office the same way he came in, as a rigid and divisive, radical ideologue who will stop at nothing to undermine his political opponents.  And that is tonight's ""Opening Monologue."" All right, so earlier today, in his final press conference, President Obama showed that he's not going away and even took a few shots at President-elect Donald Trump. Watch this.",1,418.0,70.0,host,1.0,0,Fox News,Hannity,2017-01-18
1,,(BEGIN VIDEO CLIP),1,,,,,0,Fox News,Hannity,2017-01-18
2,PRESIDENT BARACK OBAMA," I have enjoyed working with all of you. That does not, of course, mean that I've enjoyed every story that you have filed, but that's the point of this relationship. You're not supposed to be sycophants, you're supposed to be skeptics. You're supposed to ask me tough questions. But as I said before, I'm still a citizen. And I think it is important for Democrats or progressives who feel that they came out on the wrong side of this election to be able to distinguish between the normal back and forth, ebb and flow of policy. There's a difference between the normal functioning of politics and certain issues or certain moments where I think our core values may be at stake.",1,676.0,122.0,guest,2.0,1,Fox News,Hannity,2017-01-18
3,,(END VIDEO CLIP),1,,,,,1,Fox News,Hannity,2017-01-18
4,HANNITY," All right, pretty disrespectful. Instead of following the example of President George W. Bush, the one he set when he left office, President Obama has done the complete opposite. Now, let me show you exactly what I mean. Before and during Obama's presidency, I interviewed President Bush several times and asked him to comment on President Obama.  Well, much to my chagrin, he refused. Watch this.",1,398.0,67.0,host,3.0,0,Fox News,Hannity,2017-01-18
5,,(BEGIN VIDEO CLIPS),1,,,,,0,Fox News,Hannity,2017-01-18
6,"HANNITY, JAN. 12, 2009", You've gotten to spend a little time with him.,1,47.0,10.0,host,4.0,1,Fox News,Hannity,2017-01-18
7,THEN-PRESIDENT GEORGE W. BUSH," Yes. He's a -- he's a smart, capable person who has -- you know, he's got a presence about him. And he's listened to -- he's asked me good questions and listened.",1,163.0,33.0,guest,5.0,1,Fox News,Hannity,2017-01-18
8,"HANNITY, NOV. 9, 2010", You made a decision not to attack President Obama.,1,51.0,10.0,host,6.0,1,Fox News,Hannity,2017-01-18
9,G. BUSH, It's not just President Obama. I suspect I'll have that same point of view for whoever follows him.,1,100.0,19.0,guest,7.0,1,Fox News,Hannity,2017-01-18
10,"HANNITY, NOV. 25, 2010", You just do not want to weigh in on current affairs. Why?,1,58.0,13.0,host,8.0,1,Fox News,Hannity,2017-01-18
11,G. BUSH," Because, first of all, I'm trying to regain a sense of anonymity, which I know is impossible, but nevertheless, it's worth the effort.  Secondly, I don't think it's good for the country to have a former president criticizing his successor.",1,240.0,41.0,guest,9.0,1,Fox News,Hannity,2017-01-18
12,"HANNITY, NOV. 13, 2014", I'm sure you have a lot to say. You're not -- you -- you're -- we talked politics before you came in here. You are very engaged and aware of what's going on.,1,158.0,34.0,host,10.0,1,Fox News,Hannity,2017-01-18
13,G. BUSH," Yes. I'm very aware of what's going on. I don't think it's good for the country to have a former president undermine a current president.  I think it's bad for the presidency, for that matter.",1,193.0,36.0,guest,11.0,1,Fox News,Hannity,2017-01-18
14,"HANNITY, FEB. 15, 2016"," He'll tell you privately how he feels about President Obama, right? Because he won't tell me.",1,94.0,17.0,host,12.0,1,Fox News,Hannity,2017-01-18
15,"JEB BUSH, THEN-REPUBLICAN PRESIDENTIAL CANDIDATE", Talk about message discipline!,1,31.0,5.0,guest,13.0,1,Fox News,Hannity,2017-01-18
16,,(LAUGHTER),1,,,,,1,Fox News,Hannity,2017-01-18
17,HANNITY," That's really good message -- that's probably the highest form of it, right?",1,77.0,14.0,host,14.0,1,Fox News,Hannity,2017-01-18
18,G. BUSH, Why don't you tell people why. And the reason why...,1,53.0,11.0,guest,15.0,1,Fox News,Hannity,2017-01-18
19,HANNITY, Because you respect the office.,1,32.0,6.0,host,16.0,1,Fox News,Hannity,2017-01-18
20,BUSH, I do. And I think the office is more important than the occupant.,1,66.0,14.0,guest,17.0,1,Fox News,Hannity,2017-01-18
21,,(END VIDEO CLIPS),1,,,,,1,Fox News,Hannity,2017-01-18
22,HANNITY," You see that, even with bad haircuts? I practically begged President Bush to go after President Obama and call out his many failed policies. He wouldn't do it. President Obama, on the other hand, had no problem completely trashing with regularity President Bush. You may remember this during the 2008 campaign. Take a look.",1,324.0,55.0,host,18.0,0,Fox News,Hannity,2017-01-18
23,,(BEGIN VIDEO CLIPS),1,,,,,0,Fox News,Hannity,2017-01-18
24,"OBAMA, MAY 14, 2008"," The American people have a choice this November. It's going to be a clear choice between four more years of the same failed Bush policies that have wrecked Michigan's economy, or real change.",1,192.0,34.0,guest,19.0,1,Fox News,Hannity,2017-01-18
25,"OBAMA, MAY 16, 2008", I believe that there is no separation between John McCain and George Bush when it comes to our Middle East policy. And I think their policy has failed.,1,152.0,29.0,guest,20.0,1,Fox News,Hannity,2017-01-18
