,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
0,"RACHEL MADDOW, MSNBC HOST"," And thanks to at home for joining us this hour. There is a lot going on in the news right now. Today, we got a new United States Supreme Court justice, who many people will now call Justice Neil Gorsuch. But many other people will insist on calling him Justice Merrick Garland or some variety of that because it will never ever, ever, ever, ever be normal that Senate Republicans wouldn`t allow President Obama to appoint a justice to fill that seat on the court simply because he was a president from the Democratic Party that will never ever, ever be normal. So as far as I`m concerned, today, Justice Neil “Merrick Garland” Gorsuch got sworn in and the court is back to nine members. And the president is now established that henceforth in our country, no president will get to nominate Supreme Court justices anymore unless his or her party also controls the United States Senate that is the new standard in our country. But with Gorsuch/Garland being sworn in today, that is officially the way it`s going to be from here on out. Welcome to your new Supreme Court era in American history. Also today, the White House apparently scrapped its next big policy plan which was to redo the tax code after their face plant trying to repeal Obamacare and getting nowhere with that. Apparently, they are getting shy about big policy stuff. They are getting shy about trying to do a taxes overhaul as well. That is according to the “Associated Press” today. Congress is on recess this week. The plan to redo the tax code has been a convenient hook for constituents back home to berate their members of Congress that Donald Trump shouldn`t be allowed to change anything about the tax code as long as he hasn`t released his own taxes. So, we can all check to see if he`s making new tax policy that`s designed to help himself. But this president really does not want to release his taxes and apparently now he won`t be overhauling anybody else`s taxes either. The Republicans are giving up on that at least for now. Today, Defense Secretary James Mattis said that the U.S. missile strike on that Syrian air base last week, today, Jim Mattis said that that airbase strike destroyed 20 percent of the operational aircraft in the Syrian air force. Now, if you`re trying to keep track of this particular statistic, let`s be clear as to why it`s hard to keep track of this. So far, the administration has said that that strike, that missile strike last Thursday destroyed twenty planes at that one base. They`ve also said that it`s destroyed 20 percent of the planes in one wing of the Syrian air force. They`ve also said that it destroyed twenty percent of the planes that are actually operational in the Syrian air force and they`ve also said that it destroyed 20 percent of all the planes total in the Syrian air force. All of those things cannot be true simultaneously. Which of those things is true, who knows? But by tomorrow, the way this is going, they`ll presumably be telling us that that strike destroyed a hundred and twenty percent of all the planes in Syria. It destroyed twelve thousand percent of all the Muslim flames everywhere. You guys got to figure this one out. It`s been five days. Today, the deputy national security adviser lost her job. They are reportedly going to try to send her to Singapore instead, to be an ambassador despite her reportedly lobbying for a job that would keep her in D.C. This administration has not been around very long, but already, this is the second deputy national security adviser to leave. And, of course, the actual national security advisor left after only 24 days on the job. We`ve also seen a top White House communications guy named Boris, we saw him mysteriously get the boot a couple of weeks ago, and then we saw the deputy White House chief of staff mysteriously get the boot a little over a week ago, and that`s not even counting presidential advisor Steve Bannon getting demoted off the National Security Council last week, nor is it counting the six White House staffers, including the chief digital officer who got fired after failing their background checks. This administration isn`t even three months old yet, but it`s already shedding staff like water off a lame duck. Tonight, this hour, on the show, we`ve got the latest from Alabama with the political reporter who was absolutely tip of the spear when it came to the two came to this sex and ethics scandal that today resulted in the resignation of the governor of Alabama, Robert Bentley. We`ve also got a fascinating report this hour on why all the tornado sirens went off all at once in Dallas this weekend. Did you hear about that? The emergency warning signals all over Dallas all went off in the middle of the night on Friday night when they were not supposed to. Wait until you hear why that happened. That story is absolutely nuts and that is coming up tonight. We`ve also got a report tonight on the special elections that are going to be held tomorrow in Kansas and next week in Georgia. These are elections to fill the congressional seats of these two Republicans who got bumped up from the House of Representatives to take positions in the Trump administration. These are both red districts in red states, but the Republican Party is freaking out about the prospect that these seats might be at risk in Kansas and Georgia. So, we`ve got that story ahead tonight as well. There`s a lot going on. But I want to start tonight with an intriguing piece of news out of Spain. Now, this is an FBI story, but the FBI is officially not commenting on it. So, I will tell you at the outset, we are sort of left to our own devices in terms of figuring out exactly what this means but one of the ways we can start to do that is at this website. This is a website called “Spamhaus”, which sounds like a delicious idea for a downscale retro Hawaiian fast-food place. But Spamhaus, s-p-a-m-h-a-u-s., spamhaus.org, it`s basically an online international clearinghouse for information and news and statistics and leads about the ways that people use the internet to commit crimes and steal stuff. It`s about spam and hacking and malware and viruses, all the means that people use to mount online attacks. And they have done their best at Spamhaus to try to make the worst spammers in the world very famous. Obviously, this is the sort of crime that you can commit without anybody ever laying eyes on you but Spamhaus has done their best to try to create a – you know, FBI style most wanted list first for spammers. Quoting from spamhaus.org, “Up to eighty percent of spam targeted at Internet users around the world is generated by a hardcore group of about 100 known persistent spam gangs whose names, aliases and operations are documented in Spamhaus` register of known spam operations database.” And they post that explanation right along what is basically their version of the ten most wanted list. Quote, “This top chart of spammers is based on Spamhaus` view of the highest threat, least repentant, most persistent, and generally the worst of the career spammers causing the most damage on the Internet currently.” So, with their top list. And if you need a pop up your patriotic pride a little bit, you`ve been worrying that maybe the United States of America is not holding our own when it comes to this technically adept corner of the criminal underworld, rest assured turns out we`re doing great. Of the top ten worst spammers in the world, seven out of the of them are USA, USA. Two of the 10 are from Ukraine and there`s one guy in the list who has been on that list for a long time who is Russian. And this is the news – the Russian guy just got arrested. He is known online as Peter Severa or just Severa. He`s also known as Peter Levashov. And according to spamhaus.org, he is a, quote, “spammer who writes and sells virus spamming spamware and botnet access. He`s probably involved in the writing and releasing of viruses and Trojans. He`s one of the longest operating criminal spam lords on the Internet.” The reason this kind of criminal arrest is now American politics news is because one of the things that we`ve all had to learn in reporting and understanding the story of the Russian government hacking our presidential election last year, one of the things we`ve had to get familiar with in terms of how the Russian government, the Russian military, the Russian intelligence services mount those kinds of attacks, we have had to learn about the overlap in Russia between criminal hacking – you know, hacking for profit, hacking just thievery – the overlap between that and Russian government intelligence work. I mean, yes, America is still king of the world when it comes to online criminal activity – hacking, spam, stealing and stuff. But Russia is pretty good too, and over the years, an unusual thing has emerged in the Russian government. The Russian intelligence services, including their military intelligence service, they have moved beyond just trying to tap bright young computer science undergrads to enlist and join the spy services they have moved beyond that sort of recruiting of people into the intelligence services from the computer world, and they instead have moved into the criminal part of the hacking world. They have taken great pains to co-opt the most successful criminal hackers and spam artists operating illegally in Russia. Rather than prosecute them, instead they use them. They essentially piggyback on that criminal activity and take over some of that criminal activity for their own purposes in Russian intelligence. So, Russian criminal hackers are stealing personal data and financial information from, for example, tens of millions hundreds of millions of users of yahoo.com. OK, fine, that`s a criminal act. They`re doing it for profit. But Russian intelligence then uses that hack to specifically target individual journalists and opposition figures who they want to go after for political reasons, for government reasons. That`s the way it works. And with this guy who just got arrested in Spain that particular overlap between criminal work and intelligence work for Russia, that overlap is very, very clear with him. As long ago as 2012, there was open source reporting in Russia that he had crossed over from just being a famous criminal hacker to working for the FSB, working for the successor agency to the KGB. He was reported to be making the pitch to other hackers in closed online communication forums, asking other hackers to do work on behalf of the Russian government, on behalf of the Russian spy service. Also, his own online criminal activity was implicated in a pro Putin Russian government operation. I`ll quote this part from today`s “New York Times”. Quote, “Peter Severa`s spam operation ran a sophisticated evolving family of computer viruses.” I`m going to mispronounce these but I`ll do my best – “a sophisticated evolving family`s computer viruses called Waledac and later Kelihos.” I have no idea if that`s how you say them. But look at this, quote, “The Kelihos virus had been devised to spread spam, but during the Russian election in 2012, it was used to send political messages to email accounts on computers with Russian IP addresses, and those emails linked to fake news stories saying that the businessman who was running for president against Vladimir Putin had come out as gay.” So, this guy was one of the most famous criminal spam kingpins in the world. These viruses and botnet operations that he`d built for his spam vampire apparently had made him fabulously wealthy. When “BuzzFeed News” wrote up this story today, they quoted a fellow Russian hacker as describing Peter Levashov as living a lifestyle so lavish, quote, “it would have embarrassed an oligarch.” So, he`s a top ten internationally listed criminal spam kingpin. He`s reported to have recruited other hackers online to work for the Russian intelligence service. His own viruses were put to work in a Russian election a few years ago, spreading fake news that Putin`s opponent was gay. And now, he`s been arrested in Spain and – get this – he was arrested in Spain at the request of the FBI. Hmm. And the FBI is not talking about why they wanted him arrested or what this is about. But in Russian language media reporting on this arrest today and in Spanish media reporting on this arrest today, because again the arrest was in Spain, multiple publications have run quotes from this guy`s wife who was with him in Barcelona when he got arrested and she says what he told her about why he was being arrested is that had it had to do with a computer virus that he had created that was related to Donald Trump winning the presidential election in the United States last year. So, this guy has been a known notorious spammer for years, for years. But he has traveled freely around the world. He has never been arrested that we know of. He has never behaved as if he feared arrest. Certainly, he never behaved as if he feared arrest by the FBI by traveling to a country that had an extradition treaty with the United States like Spain does. But he got picked up in Barcelona and now he`s in a Spanish prison because the FBI asked for Spanish authorities to pick him up. Why and why now? Should we believe these quotes from his wife who says that he told her his arrest had something to do with the U.S. election? We don`t know. The FBI will not say. For what it`s worth, the no comment that the FBI is giving on this story, it came from the criminal division of the FBI, not from the national security division of the FBI. So, maybe the origin of the no comment is significant in some way, I don`t know. But this does come at a time when some new pieces are starting to fall in place in terms of the pace and the scope and the focus of the investigation into the Russia attack and this crucial question of whether or not the Trump campaign was involved in that attack. “The Financial Times” reported last week that the FBI has now created a special unit in Washington to oversee all aspects of this investigation. It had previously been reported that the investigation was spread out among multiple FBI field offices all around the country. Apparently, they will now start operating out of a single unit in Washington. CBS has recently reported that although the FBI investigation didn`t start until July of last year, according to CBS, the focus of the FBI investigation has now shifted two months earlier than that. CBS reports that the FBI is now looking at the initial Russian hack of the Democratic Party which happened all the way back in March. They are reportedly looking into whether or not people associated with the Trump campaign might have helped direct that initial hack, might have helped protect – direct those Russian efforts as early as last March when the hacking and the stealing first started. In addition to that, on Thursday night, as the U.S. Navy launched Tomahawk missiles at a Syrian air base, one of the pieces of news that night that got kind of lost in the sauce as everybody covered that military strike, was word that the CIA had come across news about the Russian attack and about the Trump campaigns possible connections to that attack that the CIA apparently found very alarming last summer. According to “The New York Times”, in late August, CIA Director John Brennan was so concerned about what the CIA was seeing about increased evidence of Russia`s election meddling that he began a series of urgent individual briefings for eight top members of Congress.” Quote, “It is unclear what new intelligence might have prompted the classified briefings, but concerns were growing internally and publicly at the time about a significant Russian breach of the Democratic National Committee and the CIA – this is important – the CIA began seeing signs of possible connections to the Trump campaign.” “In an August 25th briefing for then-Senator Harry Reid, John Brennan indicated that unnamed advisors to Mr. Trump might be working with the Russians to interfere in the election.” So, the CIA thought that that was enough of a possibility that they needed to individually start briefing senior leadership in Congress, not just the Russian attack Trump involvement in the attack. So, I mean, in terms of division of labor and national security law here, the CIA can only handle the foreign part of this, right? The CIA can only handle the Russian attack part of this. When it comes to the possibility of the Trump campaign or any other Americans helping that effort, well, then you`re talking about Americans. That`s a domestic issue. That becomes an American law enforcement operation, right? And that sort of thing is not handled by the CIA. That has to be handled by the FBI. But this new reporting indicates that the CIA last summer somehow came into possession of information that it found sufficiently alarming that the director did one-on-one briefings with the leadership in Congress, not to tell them about Russia interfering at the election, but to tell them about Russia interfering with the election and the distinct possibility that Trump campaign, the Trump campaign was helping Russia do that. So, the Trump campaign side of that is something that the FBI would have to handle ultimately, not the CIA. And because of that, because that`s FBI territory at that point, the investigation becomes a black box to us in terms of what we know about it or at least in terms of what the FBI will say about it. But whether or not they are talking about these things, we can see what they`re doing. And one of the things they have just done is request the arrest of this Russian intelligence linked criminal mega hacker who is now sitting in a jail cell in Barcelona presumably about to be extradited to the United States. And the FBI won`t say beep about it. So, there`s a lot going on in the world right now. There`s a lot going on in politics. There`s a lot going on in the news that doesn`t look like politics until you`ve got to the surface a little bit. But as Secretary of State Rex Tillerson prepares to go to Moscow as this administration continues to enjoy its first real bout of shallow good press about their bombing two thousand percent of all the planes in Syria, the one potentially existential scandal of this administration really is still moving. Tonight, it`s moving in Barcelona. Tomorrow, who knows? Watch this space.",1,18438.0,3218.0,host,1.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
1,MADDOW," Tom DeLay really pioneered the genre. But you know, John Edwards was dazzling, too. Oh, and Rick Perry oh happy day Rick Perry. This is a thing for arrested politicians now. This is the way it`s done. When it`s time for your mug shot, sir, make sure you smile. I don`t know who trains politicians to take their mug shots like this, but Alabama Governor Robert Bentley clearly got the memo. Smile, sir. We have been covering the Robert Bentley story for months. We were the first national news outlet to spend significant time on this story. We were – we were on the Robert Bentley story even before the tape came out. I think – I`m not going to promise, but I think I can tell you – I think I can tell you this is the last time we`re ever going to play it. But, baby, let me tell you what we`re going to have to do, we`re going to have to start locking the door. If we`re going to do – if we`re going to do what we did the other day, we`re going to have to start locking the door.",1,981.0,195.0,host,2.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
2,MADDOW," I think that`s it. I think we are now officially – I was going to say we put that bed, but it`s like – there`s nothing, it pollutes all words that get anywhere near it. Anyway, I think we are done with that now, because today, this thing arrived at its inevitable political conclusion. The sex and ethics scandal that made Alabama Republican Governor Robert Bentley nationally famous. Today, it resulted in a plea deal, in which he pled guilty to two misdemeanor counts. He resigned as governor of Alabama. He pledged to never run for public office again. He agreed to pay back funds that he misused, and he will do many dozens of hours of unpaid community service. Now, it is possible that they could still try to put him in jail on the misdemeanors that he pled guilty to today, but nobody really expects jail time. Alabama`s basically a one-party state at this point. Republicans dominate all levels of government. Just over the course of one year, over the space of one year, the Republican speaker of the house was arrested convicted and sentenced to four years in prison on corruption charges. Not long after that, the elected chief justice of the state Supreme Court was thrown off the bench for violating judicial ethics and now today, smile the governor has resigned pled guilty and had his mug shot taken. As Lieutenant Governor Kay Ivey took the oath of office today, started to feel like there might be something poetic about the fact that a governor, you know, cheating on his wife of years and then using state funds and resources to cover it up, that that scandal in particular will now result in Alabama getting a woman governor for only the second time in the state`s history. But we may not be able to write the ending of this yet. This thing might not be over. Alabama political reporter John Archibald broke many of the biggest developments in this scandal from the very beginning and today as the governor resigned, Archibald says that now there may be other shoes to drop. The head of the Alabama law enforcement agency is implicated here. The utility company that was inexplicably paying the alleged mistresses salary, they are implicated here. Also, Luther Strange who Governor Robert Bentley appointed to a United States Senate seat right in the middle of this whole morass, there are now questions he`s going to have to answer. When Jeff Sessions became Donald Trump`s attorney general, it was Robert Bentley who appointed Jeff Sessions` successor in the Senate, and now, he may be all mixed up in this too. John Archibald is the Alabama reporter who busted this story open in the first place. He says this may not be over today just because the governor resigned today. John Archibald joins us from Alabama, next.",1,2741.0,481.0,host,3.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
3,BENTLEY," The time has come for me to look at new ways to serve the good people of our great state. I have decided it is time for me to step down as Alabama`s governor. I`m leaving this office that I have held, that I have respected, that I`ve loved for seven years to focus on other and possibly more effective areas of service.",1,320.0,64.0,guest,4.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
4,MADDOW," Now, former Alabama Governor Robert Bentley resigning from office today. I don`t know what he thinks his more effective areas of service are going to be, but as governor, he had ceased to be effective a long time ago when this sex and ethics scandal first broke in Alabama news. Joining us now is the man who more than anybody broke this story, John Archibald, columnist for “The Birmingham News”. He is reporting tonight that the resignation of the governor may not be the end of this story. Mr. Archibald, it`s really good to have you with us tonight. I`m sure it`s been a very busy day for you.",1,598.0,110.0,host,5.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
5,"JOHN ARCHIBALD, ALABAMAA MEDIA GROUP COLUMNIST"," Yes, it has. Thank you for having me.",1,38.0,9.0,guest,6.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
6,MADDOW," First of all, let me just ask about this the governor`s decision here. This was not a simple resignation. It was part of a plea deal. For people who haven`t been following the criminal part of this carefully, could she tell us sort of the distance between the charges he was facing and what he actually pled to today while he resigned?",1,336.0,63.0,host,7.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
7,ARCHIBALD," Sure. Last week, the Alabama ethics commission referred to prosecutors for charges which are all felonies, ethics charges and campaign violations which each carried a 20-year maximum prison sentence. So, going from there to two misdemeanors, it seems like a long way to fall. But there are other conditions and that`s why he was able to make that deal.",1,353.0,60.0,guest,8.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
8,MADDOW," And if – obviously, him resigning as governor, him pledging to never stand for public office again, him repaying some of the funds that he`s accused of misusing, there are a lot of – I mean, he`s paying a penalty here. Will this be a controversial plea deal in Alabama? Will people want him to have seen jail time? Will the people who made this deal with them have to answer for it?",1,383.0,74.0,host,9.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
9,ARCHIBALD," I think, initially, a lot of people are really upset honestly. It`s one of the strangest things. That this has been one of the most unifying things I`ve seen in Alabama in a long time, because Republicans, Democrats just about everybody looked at this and says this is crazy. He should have resigned long ago. So, I think there`s some anger initially that it`s not worse, but when people start to realize that the cost of the trial is going to be avoided and he really has lost everything, I think that people will probably be more forgiving.",1,543.0,99.0,guest,10.0,0,MSNBC,The Rachel Maddow Show,2017-04-10
